0,1,2,7,8,10,14,17
не определено,дачный участок,баня,2 комнаты в квартире,иное,дом,дача,бокс
,замельный участок под гаражем,беседка,жилое помещение,,жилое строение,дачное строение,гараж
,земельный садовый участок,водопровод,квартира,,жилой блок,дачный дом,гараж бокс
,земельный участок,газопровод,комната,,жилой дом,дачный домик,гараж с баней
,земельный участок под гараж,гостиничный номер,комната (служебное помещение),,незавершенное строительство жилого дома,садовый дом,гаражный бокс
,земельный участок под гаражем,иное недвижимое имущество,комната в квартире,,часть жилого дома,,лодочный ангар
,земельный участок под гаражом,кабинка-овощехранилище,комната в коммунальной квартире,,,,машино-место
,земельный участок под ижс,кладовая,комната в общежитии,,,,машиноместо
,лесной участок,котельная,комнаты,,,,парковочное место
,приусадебный земельный участок,летняя кухня,служебное жилое помещение,,,,эллинг
,садовый участок,надводная постройка,,,,,
,,надворная постройка,,,,,
,,недостроенный дом,,,,,
,,нежилое здание,,,,,
,,нежилое помещение,,,,,
,,нежилой дом,,,,,
,,номер в гостинице,,,,,
,,объект незавершенного строительства,,,,,
,,овощная яма,,,,,
,,погреб,,,,,
,,погребная ячейка,,,,,
,,подвал,,,,,
,,подсобное помещение,,,,,
,,сарай,,,,,
,,склад,,,,,
,,сооружение - газопровод низкого давления,,,,,
,,теплица,,,,,
,,торгово-офисное здание,,,,,
,,хозблок,,,,,
,,хозяйственная постройка,,,,,
,,хозяйственное помещение,,,,,
,,хозяйственное строение,,,,,
,,хозяйственое строение,,,,,
,,частная гостиница,,,,,
